role,rank,score,interest_overlap,topic_overlap,mutual_friends_score,social_boost,location_match,age_compatibility,name,age,hometown,homestate,college,degree,job,hobbies_activities_sports_games_skills_certifications,interests_likes,fan_of,faith_religion,travel,friends_in_common
SOURCE,,,,,,,,,Theo Torres,24,Austin,Utah,UT Dallas,MS Computer Science,Product Designer,Soccer; Board Games; Excel; SQL,SZA; BBQ; Coldplay; Thai Food,Succession; The Bear; NBA,Spiritual,France; Nashville; Austin; Barcelona,0
CANDIDATE,1,0.3800,0.2000,0.1000,0.0000,0.0000,1.0000,0.9000,Layla Davis,25,Austin,Maryland,Northeastern,MS Computer Science,Product Designer,Cycling; Golf; Pickleball; Hiking; Guitar; Project Management; Excel; SQL,SZA; Minecraft; Phoebe Bridgers; Fashion; Film; Astrology; Bad Bunny,Atomic Habits; Ted Lasso; The Bear; Phoebe Bridgers,Jewish,New Zealand; Austin; Denver,0
CANDIDATE,2,0.2472,0.1111,0.0000,0.0000,0.0000,0.0000,0.9000,Connor Hayes,25,Phoenix,Indiana,University of Michigan,BS Information Systems,Content Strategist,Podcasting; Golf; Snowboarding; Soccer; Skateboarding; CPR Certified,Tyler the Creator; Frank Ocean; Interior Design; Zelda; Fitness; Taylor Swift; Film,Dune; Phoebe Bridgers; Stranger Things; Joe Rogan; Marvel,Muslim,Tokyo; Thailand,0
CANDIDATE,3,0.2214,0.1250,0.1429,0.0000,0.0000,0.0000,0.7000,Layla Ortiz,27,Columbus,Massachusetts,NYU,MS Computer Science,Marketing Manager,Soccer; Drums; Drawing; Skateboarding; Google Analytics,Coldplay; Mario Kart; Fitness; Coffee Culture,Succession; How to Win Friends,Hindu,Amsterdam; Peru; Italy,0
CANDIDATE,4,0.2202,0.1429,0.1111,0.0000,0.0000,0.0000,0.7000,Ines Xu,27,Washington DC,North Carolina,Vanderbilt,MBA,Sales Representative,Meditation; Trivia; Excel; Figma,Doja Cat; SZA; Smash Bros; Phoebe Bridgers; Mario Kart; Bad Bunny,Lord of the Rings; NFL; Coldplay; Joe Rogan; MLB,Jewish,Australia; New Zealand; Amsterdam; Austin,0
CANDIDATE,5,0.2182,0.0909,0.0000,0.0000,0.0000,0.0000,0.8000,Dakota Johnson,26,Jacksonville,Maryland,Stanford,BS Mathematics,Account Manager,Pickleball; Singing; Chess; Podcasting; Guitar; Google Analytics; CPR Certified; SQL,Phoebe Bridgers; Astrology; Psychology; Mario Kart; Boba Tea; Pizza,Succession; Lord of the Rings,Hindu,Japan; Seoul; NYC,0
CANDIDATE,6,0.2125,0.0000,0.2500,0.0000,0.0000,0.0000,0.7000,Fiona Quinn,27,Tampa,Maryland,Rice University,BS Biology,Marketing Manager,Cycling; Fishing; Pickleball; Podcasting; Writing,Mario Kart; Anime; Thai Food; SZA; Film; Sustainability,Atomic Habits; MLB; Lex Fridman,Muslim,Bali; London,0
CANDIDATE,7,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,Dylan Ortiz,22,Miami,Oregon,Ohio State,BA Communications,Frontend Developer,Cooking; Cycling; Blogging; Kayaking,Smash Bros; Kendrick Lamar; Pizza; Mindfulness; Mario Kart; Fitness; Phoebe Bridgers,Premier League; MLS,Catholic,Berlin; Greece; Costa Rica,0
CANDIDATE,8,0.1650,0.0000,0.1000,0.0000,0.0000,0.0000,0.6000,Eli Franklin,28,Charlotte,Ohio,Cornell,BS Economics,Frontend Developer,Piano; Skateboarding; Scrum Master,Minecraft; Stoicism; True Crime; Bad Bunny; BBQ; Street Art; Architecture,Star Wars; The Bear; Call Her Daddy; Lex Fridman,Christian,Denver; Tokyo; Buenos Aires,0
CANDIDATE,9,0.1639,0.1111,0.1111,0.0000,0.0000,0.0000,0.5000,Uma Walker,29,Detroit,Missouri,Virginia Tech,BS Information Systems,Data Analyst,Soccer; Camping; Snowboarding; Rock Climbing; Scrum Master; Google Analytics,Smash Bros; Doja Cat; Thai Food; Coffee Culture; Zelda; Phoebe Bridgers,NFL; Call Her Daddy; Lex Fridman; Sapiens; Premier League,Agnostic,Tokyo; Dublin; Bali,0
